Blackburn Stingers,"Blackburn Hamlet, ON",https://blackburnstingers.ca,[email protected],[email protected],[email protected],Complete - Extracted via Apify (Has VP Hockey Ops and VP Finance instead of traditional VP/Treasurer)
Blind River Thunder,"Blind River, ON",https://blindriverminorhockey.ca,[email protected],[email protected],[email protected],Complete - Extracted via Apify
Blyth-Brussels Crusaders,"Blyth-Brussels, ON",https://blythbrusselsminorhockey.ca,[email protected],[email protected],[email protected],Complete - Extracted via Apify (VP email is Complaints@ address)
Brampton 45s,"Brampton, ON",https://bramptonhockey.com,[email protected],Multiple VPs for different portfolios,[email protected],Complete - Extracted via Apify (Part of Brampton Hockey Inc)
Brampton Canadettes,"Brampton, ON",https://bramptoncanadettes.com,[email protected],[email protected],[email protected],Complete - Extracted via Apify
Brant Battalion (Paris),"Paris, ON",https://parisminorhockey.com,[email protected],[email protected],[email protected],Complete - Extracted via Apify (Paris Minor Hockey - part of Brant County system)
Brantford 99ers,"Brantford, ON",https://brantfordminorhockey.com,[email protected],[email protected],[email protected],Complete - Extracted via Apify
Brantford Ice Cats,"Brantford, ON",https://bgha.ca,Vacant,[email protected],[email protected],Complete - Extracted via Apify (Brantford Girls Hockey Association - President position vacant)
Brighton Bolts,"Brighton, ON",https://brightonminorhockey.ca,[email protected],[email protected],"[email protected], [email protected]",Complete - Extracted via Apify (Has co-treasurers)
Brock Wild,"Brock, ON",https://brockminorhockey.com,[email protected],[email protected],[email protected],Complete - Extracted via Apify
